{{ -1,43,  -0,40,  -0,01,  -1,10,   0,21,   0,15,  -0,28,  -0,58,  -0,48,  -0,46 }
{ -1,69,   0,84,   0,02,   2,27,   1,36,  -1,60,   0,61,  -0,27,   0,85,   1,40 }
{ -1,48,  -0,38,  -0,01,   1,09,   0,26,  -0,90,  -2,05,  -1,86,  -1,10,   0,51 }
{ -1,46,   0,56,   0,33,  -1,27,   1,28,  -1,19,  -1,50,  -1,80,  -0,80,   0,13 }
{  0,88,  -1,53,  -0,53,  -0,09,   0,66,   0,45,  -0,28,   0,47,   1,39,   1,53 }
{  0,74,  -0,83,  -0,46,   0,25,  -0,41,   1,87,  -0,50,  -0,31,   1,17,   1,19 }
{ -0,56,  -0,94,  -0,44,  -0,09,  -0,08,  -0,15,  -0,50,  -0,33,  -0,12,   0,13 }
{  1,13,  -0,03,  -0,05,  -0,60,  -0,50,   0,83,   0,39,   1,08,  -0,30,   0,93 }
{  1,18,  -0,10,  -0,06,   0,25,  -0,54,   0,86,   1,16,   0,80,  -0,06,  -0,93 }
{  0,62,  -0,12,  -0,12,  -0,60,  -0,58,   1,28,  -1,50,  -0,56,   0,06,   0,13 }
{  0,55,  -1,13,  -0,41,  -1,10,  -0,83,   1,93,  -0,94,  -0,62,  -0,58,   1,53 }
{  0,59,  -1,04,  -0,48,  -0,60,  -0,54,   0,18,  -0,06,  -0,15,  -0,55,  -1,23 }
{  0,08,  -1,04,  -0,44,  -0,26,  -0,44,   0,88,  -1,05,   0,76,   1,85,  -0,84 }
{  0,09,  -1,95,  -0,56,  -0,60,   6,52,  -0,26,   2,60,   0,57,   0,28,   1,44 }
{ -0,15,  -1,16,  -0,48,   0,75,   0,13,   0,16,   1,38,   0,36,   0,08,   0,81 }
{ -0,09,  -0,59,  -0,37,   0,75,  -0,38,  -0,10,   2,94,   0,51,   0,44,  -0,84 }
{  0,80,   0,18,  -0,51,   1,93,  -0,44,   1,20,   0,61,   1,37,   2,16,  -0,80 }
{  0,74,  -0,12,  -0,41,   0,08,  -0,16,   0,97,  -0,39,   0,47,   0,69,  -0,80 }
{  0,49,  -0,61,  -0,48,  -0,09,  -0,59,   1,17,  -1,16,   0,43,   1,01,  -0,17 }
{ -0,32,  -1,23,  -0,41,   0,08,  -0,32,   1,85,   0,28,  -0,91,   0,22,  -0,59 }
{  0,04,  -0,78,  -0,48,   0,41,   0,01,   0,15,  -0,17,  -0,15,   0,96,  -0,51 }
{ -0,84,  -0,24,   0,04,  -0,77,  -0,77,   0,39,  -0,28,   0,92,  -0,64,   0,13 }
{ -1,37,   0,02,  -0,29,  -0,09,  -0,64,  -0,21,  -0,17,   1,60,   1,33,  -1,40 }
{  0,20,  -0,19,  -0,01,   0,08,  -0,65,  -0,47,   0,05,   1,11,  -0,66,  -1,95 }
{ -0,06,  -0,64,   0,26,  -0,09,  -0,48,   0,03,   0,72,   1,39,  -0,15,  -0,17 }
{  0,88,  -0,50,  -0,53,   0,58,  -0,07,   0,60,  -0,94,  -0,11,   0,85,   1,10 }
{  1,90,  -0,92,  -0,41,   0,25,  -0,24,   1,25,   1,50,   0,47,   1,75,   0,55 }
{  1,29,  -0,19,  -0,32,   0,58,  -0,31,  -0,49,  -0,17,   0,39,   0,49,   0,55 }
{  1,47,   0,00,  -0,41,  -0,43,  -0,42,   0,36,   1,05,  -0,03,   0,62,  -0,72 }
{ -0,22,  -0,90,  -0,51,  -0,60,  -0,16,   0,18,  -0,06,   0,41,   1,10,  -0,04 }
