{{ 53,92,  -2,52,  -6,68,  -1,72, -1774,23,  12,07,  -4,88,  50,59, 126,42,   4,29 }
{ -2,52,  18,12,  18,72,   6,52, -1650,16,   3,62,  -9,27, -33,97, -109,65,  -2,78 }
{ -6,68,  18,72,  34,03,   8,52, -1504,00,   9,10, -13,30, -64,06, -146,46,  -4,03 }
{ -1,72,   6,52,   8,52,  35,18, 193,96,   0,29,  10,59,  36,25,  50,74,  -0,87 }
{-1774,23, -1650,16, -1504,00, 193,96, 2187570,69, -3630,73, 3772,02, -13897,31, -3576,45, 892,10 }
{ 12,07,   3,62,   9,10,   0,29, -3630,73,  37,78,  -6,11,  19,13,  21,82,   0,77 }
{ -4,88,  -9,27, -13,30,  10,59, 3772,02,  -6,11,  81,42, 176,22,  77,82,   0,39 }
{ 50,59, -33,97, -64,06,  36,25, -13897,31,  19,13, 176,22, 2643,00, 1401,97, -18,87 }
{126,42, -109,65, -146,46,  50,74, -3576,45,  21,82,  77,82, 1401,97, 3113,43,  20,96 }
{  4,29,  -2,78,  -4,03,  -0,87, 892,10,   0,77,   0,39, -18,87,  20,96,   5,58 }
}
